,Django Package Name,edX Owned?,Python 3.9,Django 3.0,Django 3.1,Django 3.2,Last Checked,Ticket URL,Notes,openedxstats
138,django-require,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/64,Last release in 2016,
139,zappa,,-,5.0.0,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/65,,
140,django-sphinx-autodoc,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/66,Last release in 2011,
143,django-widget-tweaks,,master,1.4.6,master,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/67,,
145,django-nose,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/68,,
149,edx-jsme,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/69,2017 last commit.,
151,edx-proctoring-proctortrack,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/70,,
152,edx-sga,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/71,,
154,rate-xblock,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/72,obselete and deprecated.,
155,repo-tools-data-schema.git,yes,-,-,-,-,"Jun 21, 2021",,,
158,xblock-poll,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/73,OpenCraft will work on this,
162,done-xblock,yes,-,-,-,-,"Jun 21, 2021",,,
164,django-dynamic-filenames,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/74,no recent activity in this repo since 2019.,
165,django-braces,,-,1.14.0,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/75,,
166,mock-django,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/76,Not maintained any more.,
167,django-debug-panel,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/77,Not maintained any more.,
168,django-wiki,yes,-,0.6,0.7,0.7.5,"Jun 21, 2021",,,
169,django-rest-framework-xml,,-,2.0.0,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/32,,
170,django-ipware,,-,3.0.0,3.0.4,3.0.4,"Jun 21, 2021",,Jeremy to check status,
171,django-contrib-comments,,2.1.0,1.9.2,2.0.0,2.1.0,"Jun 21, 2021",,,
172,django-solo,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/78,,
173,django-timezone-field,,4.1,4,4.1,4.2.1,"Jul 28, 2021",,Lastest release will drop django3.0 also.,
177,rest-condition,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/2,,
178,drf-haystack,,v1.8.10,-,v1.8.9,1.8.10,"Jun 2, 2021",,,
179,xblock-problem-builder,,-,-,-,-,"Aug 5, 2021",https://tasks.opencraft.com/browse/FAL-2198,"OpenCraft will work on this (this ticket is in their system, so we cannot see it.)",
180,schoolyourself-xblock,yes,-,-,-,-,"Aug 5, 2021",,,
181,ConceptXBlock,yes,-,-,-,-,"Aug 5, 2021",,,
182,AudioXBlock,yes,-,-,-,-,"Aug 5, 2021",,,
183,AnimationXBlock,yes,-,-,-,-,"Aug 5, 2021",,https://openedx.atlassian.net/browse/BOM-2643,
184,ubcpi,yes,-,-,-,-,"Aug 5, 2021",,,
185,xblock-vectordraw,,-,-,-,-,"Aug 5, 2021",https://tasks.opencraft.com/browse/FAL-2199,"OpenCraft will work on this (this ticket is in their system, so we cannot see it.)",
186,xblock-activetable,,-,-,-,-,"Aug 5, 2021",https://tasks.opencraft.com/browse/FAL-2196,"OpenCraft will work on this (this ticket is in their system, so we cannot see it.)",
187,edx-zoom,yes,v1.6,-,-,-,"Aug 5, 2021",,,
188,xblock-qualtrics-survey,yes,v1.1.0,-,-,-,"Aug 5, 2021",,,
189,xblock-in-video-quiz,yes,v0.1.8,-,-,-,"Aug 5, 2021",,,
190,xblock-submit-and-compare,yes,master,master,master,-,"Aug 5, 2021",,,
191,xblock-free-text-response,yes,v1.1.0,-,-,-,"Aug 5, 2021",,,
192,xblock-sql-grader,yes,master,-,-,-,"Aug 5, 2021",,,
193,xblock-image-modal,yes,v1.1.0,-,-,-,"Aug 5, 2021",,,
194,labxchange-xblocks,,-,-,-,-,"Aug 5, 2021",https://tasks.opencraft.com/browse/LX-2108,"OpenCraft will work on this (this ticket is in their system, so we cannot see it.)",
195,lx-pathway-plugin,,-,-,-,-,"Aug 5, 2021",https://tasks.opencraft.com/browse/LX-2109,"OpenCraft will work on this (this ticket is in their system, so we cannot see it.)",
196,platform-plugin-coaching,yes,master,-,-,-,"Aug 5, 2021",,,
197,acclaimbadge-xblock,yes,master,-,-,-,"Aug 5, 2021",,,
198,platform-plugin-braze,yes,v1.0,-,-,-,"Aug 5, 2021",,,
